area,total_rooms,bathrooms,garage_spaces,distance_to_center,floor,build_year,price
75,3,2,1,2.5,5,2010,4500000
120,4,3,2,1.2,3,2015,8500000
55,2,1,0,3.8,8,2005,3200000
90,3,2,1,1.5,2,2018,6800000
65,3,2,0,2.8,12,2012,4800000
110,4,2,2,0.8,1,2020,9200000
85,3,2,1,3.2,7,2008,5200000
95,3,2,2,2.0,4,2016,7200000
70,2,1,1,4.5,9,2003,3800000
130,5,3,2,1.0,2,2019,10500000
62,2,1,0,4.0,14,1998,3500000
100,4,2,1,1.8,6,2014,7800000
78,3,2,1,2.2,4,2011,4900000
115,4,3,2,0.9,3,2021,9800000
48,1,1,0,5.2,16,1995,2800000
140,5,3,2,0.6,1,2022,11200000
88,3,2,1,2.7,8,2009,5100000
72,2,2,1,3.5,10,2006,4100000
105,4,2,2,1.4,5,2017,8100000
58,2,1,0,4.2,11,2002,3400000
